amount,name,image_url,details_url,registered_state,registered_city,make,model,year_of_manufacture,color,condition,mileage,engine_size,selling_condition,bought_condition,transmission_system
65250000,Toyota Tundra 2014 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163646285_MTgwLTEwMS01MGYzMGE1NzNj.jpg,https://www.cars45.com/jEY4wdZbPJ6PxkzlJp2GSOP2YUCPPv7,Enugu State,Enugu,Toyota,Tundra,2014.0,Black,Foreign Used,61853.0,,Imported,Imported,Automatic
3375000,Lexus RX 300 2000 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163588201_MTgwLTEzNS1hNGI1MzEyODFlLTE.jpg,https://www.cars45.com/jEY4wdZMxG16uFCDlVLDrNzXimbzpel,Lagos State,Isolo,Lexus,RX 300,2000.0,Black,Local Used,252803.0,3000.0,Registered,Registered,Automatic
18000000,Nissan Sentra 2018 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163584929_MTgwLTEzNS1iMzZiNmZlNGEzLTE.jpg,https://www.cars45.com/jEY4wdZPeTbp93yOkro6idJl13UGOvr,Lagos State,Alimosho,Nissan,Sentra,2018.0,Black,Foreign Used,402260.0,2400.0,Imported,Imported,Automatic
9000000,Lexus GS 2007 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163604153_MTgwLTEzNi1kNzVmNzhhOTQ3.jpg,https://www.cars45.com/jEY4wdZTuo3BPCI5jD0L9mHQSEw3zZp,Rivers State,Port-Harcourt,Lexus,GS,2007.0,Black,Local Used,,3500.0,Registered,Brand new,Automatic
7875000,Toyota Camry 2008 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163596236_MTgwLTEzNS0zMTJmNmMzYjY4.jpg,https://www.cars45.com/jEY4wdZT4nb7qDHrRKRa6ZcERYmjteD,Ogun State,Abeokuta North,Toyota,Camry,2008.0,Silver,Local Used,355002.0,2400.0,Registered,Registered,Automatic
4828500,Toyota Highlander Limited V6 FWD 2003 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163548118_MTgwLTEzNS0xZjlkYWI2YmYwLTE.jpg,https://www.cars45.com/jEY4wdZyQIpHDyu3c1VK7OGid7Mrb1q,Abuja (FCT),Karu,Toyota,Highlander,2003.0,Black,Local Used,293412.0,3000.0,Registered,Imported,Automatic
3375000,Toyota Camry 2002 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163565240_MTgwLTEzNi0xMTdlNTQwMzMz.jpg,https://www.cars45.com/jEY4wdZHDRQqltML5QJYkSeKPbuBVad,Imo State,Owerri,Toyota,Camry,2002.0,Gray,Local Used,289588.0,2400.0,Registered,Registered,Automatic
5625000,Lexus RX 1999 White,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163529966_MTgwLTEzNS0zM2FkNjJhZDc5.jpg,https://www.cars45.com/jEY4wdZQhaExA4dgIPaG1oTTnmIGZ0z,Abuja (FCT),Kubwa,Lexus,RX,1999.0,White,Local Used,120028.0,3000.0,Registered,Registered,Automatic
18562500,Lexus RX 350 2010 White,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163479547_MTgwLTEzNS1jODY5MjU0ODdh.jpg,https://www.cars45.com/jlCs49PYJytqmFtMECQ3gp5SiFlDde,Lagos State,Yaba,Lexus,RX 350,2010.0,White,Local Used,187058.0,3500.0,Registered,Registered,Automatic
16875000,Lexus LS 2009 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163503573_MTgwLTEzNS03MmJiZTcyODg2.jpg,https://www.cars45.com/jEY4wdZmF5maGg0mmTRqfANik3FMFfM,Lagos State,Lekki,Lexus,LS,2009.0,Blue,Local Used,90117.0,4600.0,Registered,Registered,Automatic
