make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,transmission_system
Toyota,Corolla,2014,Red,Foreign Used,137410,1800,N/A,Imported,Imported,Automatic
Toyota,Camry,2014,Black,Foreign Used,147158,2500,N/A,Imported,Imported,Automatic
Toyota,Camry,2006,Silver,Local Used,188943,2400,EDO,Registered,Registered,Automatic
Toyota,RAV4,2015,Gray,Local Used,120864,2000,N/A,Registered,Brand new,Automatic
Toyota,Venza,2009,Red,Local Used,212463,3500,N/A,Registered,Imported,Automatic
Lexus,ES,2005,Silver,Local Used,295518,3300,LAGOS,Registered,Registered,Automatic
Toyota,Previa,2003,Black,Local Used,590089,2400,LAGOS,Registered,Imported,Automatic
Hyundai,Sonata,2011,Blue,Foreign Used,169131,2400,N/A,Imported,Imported,Automatic
Lexus,RX 350,2021,Black,Foreign Used,39248,3500,N/A,Imported,Imported,Automatic
Toyota,Corolla,2003,Burgandy,Local Used,119517,1800,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2009,Silver,Local Used,185620,2000,Lagos,Registered,Imported,Automatic
Volvo,XC90,2007,Green,Local Used,316772,3200,Lagos,Registered,Imported,Automatic
Toyota,Venza,2009,Gold,Local Used,168771,3500,Lagos,Registered,Registered,Automatic
Toyota,Camry,2009,Silver,Local Used,246642,2400,Cross River,Registered,Registered,Automatic
Ford,Escape,2009,Gray,Local Used,328891,3000,LAGOS,Registered,Registered,Automatic
Kia,Optima,2013,Gray,Foreign Used,80089,N/A,N/A,Imported,Imported,Automatic
Toyota,RAV4,2010,Blue,Local Used,153222,3500,ABUJA,Registered,Imported,Automatic
Hyundai,Santa Fe,2015,Black,Local Used,115992,2400,N/A,Registered,Imported,Automatic
Toyota,Highlander,2006,White,Local Used,124733,3300,Lagos,Registered,Imported,Automatic
Toyota,Corolla,2010,Black,Foreign Used,433662,1800,N/A,Imported,Imported,Automatic
Lexus,RX 350,2015,Gray,Foreign Used,129228,3500,N/A,Imported,Imported,Automatic
Honda,Odyssey,2007,Blue,Local Used,301422,3500,Lagos,Registered,Registered,Automatic
Mazda,MPV,2002,Gold,Local Used,348135,3000,LAGOS,Registered,Registered,Automatic
Toyota,4-Runner,2003,Blue,Local Used,152341,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2008,Gray,Local Used,214417,2400,EDO,Registered,Registered,Automatic
Honda,Pilot,2007,Black,Local Used,173279,3500,ABUJA,Registered,Registered,Automatic
Toyota,Camry,2002,Gray,Local Used,393053,2400,Lagos,Registered,Registered,Automatic
Honda,Civic,2001,Silver,Local Used,255565,1600,Abuja,Registered,Registered,Automatic
Nissan,Pathfinder,2006,Gray,Local Used,206217,3500,Abuja,Registered,Registered,Automatic
Hyundai,Accent,2010,Silver,Local Used,N/A,1600,Lagos,Registered,Registered,Manual
Toyota,Corolla,2007,Gray,Local Used,329903,1800,Lagos,Registered,Imported,Automatic
Mercedes-Benz,M Class,2012,Gray,Local Used,247749,3500,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2008,Blue,Local Used,267112,2400,ENUGU,Registered,Imported,Automatic
Kia,Sportage,2017,White,Local Used,43660,2000,N/A,Registered,Imported,Automatic
Toyota,Highlander,2015,Black,Foreign Used,254996,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2006,Gold,Foreign Used,207397,2400,N/A,Imported,Imported,Automatic
Toyota,Highlander,2008,Black,Local Used,113556,3500,LAGOS,Registered,Imported,Automatic
Acura,MDX,2009,Gray,Local Used,104537,3700,LAGOS,Registered,Imported,Automatic
Honda,Pilot,2011,Red,Local Used,104465,3500,Lagos,Registered,Imported,Automatic
Opel,Signum,2005,Red,Local Used,136822,2200,PLATEAU,Registered,Registered,Automatic
Toyota,4-Runner,2003,Black,Local Used,204134,4700,Abuja,Registered,Imported,Automatic
Toyota,RAV4,2012,Silver,Foreign Used,85444,2500,N/A,Imported,Imported,Automatic
Lexus,RX 350,2019,Gray,Local Used,24651,3500,Lagos,Registered,Imported,Automatic
Toyota,Camry,2008,Black,Local Used,57406,2400,Delta,Registered,Registered,Automatic
Nissan,Quest,2015,Green,Local Used,355321,3500,N/A,Registered,Imported,Automatic
Mercedes-Benz,E350,2012,White,Local Used,57699,3500,N/A,Registered,Registered,Automatic
Toyota,Highlander,2005,Gold,Local Used,99999,3300,KADUNA,Registered,Imported,Automatic
Toyota,Avensis,2004,Red,Local Used,338724,1800,N/A,Registered,Imported,Automatic
Toyota,Camry,2009,Green,Local Used,162197,3500,LAGOS,Registered,Imported,Automatic
Honda,Accord,1996,Red,Local Used,156138,2000,LAGOS,Registered,Registered,Manual
Nissan,Almera,2004,Blue,Local Used,267118,1800,LAGOS,Registered,Registered,Manual
Toyota,RAV4,2017,Gray,Foreign Used,325276,2500,N/A,Imported,Imported,Automatic
Land Rover,Range Rover Evoque,2018,White,Local Used,126854,2000,N/A,Registered,Imported,Automatic
Lexus,RX 300,2001,Gray,Local Used,211688,3000,Abuja,Registered,Registered,Automatic
Toyota,Sienna,2007,Blue,Foreign Used,238088,3500,N/A,Imported,Imported,Automatic
Toyota,Corolla,2005,Red,Local Used,462572,1800,Lagos,Registered,Registered,Automatic
Volkswagen,Golf,1999,Black,Local Used,305884,1800,Lagos,Registered,Imported,Automatic
Hyundai,Accent,2012,Gold,Local Used,203750,1600,ABUJA,Registered,Registered,Automatic
Toyota,Camry,2008,Gray,Local Used,244948,2400,ABUJA,Registered,Registered,Automatic
Mazda,CX-9,2008,Black,Local Used,163443,3500,N/A,Registered,Imported,Automatic
Acura,MDX,2008,Green,Local Used,350015,3500,ENUGU,Registered,Registered,Automatic
Ford,Escape,2014,Black,Local Used,89621,1600,N/A,Registered,Brand new,Automatic
Mitsubishi,Lancer,2008,Black,Local Used,177573,1500,LAGOS,Registered,Registered,Automatic
Toyota,Matrix,2006,Green,Local Used,139261,1800,N/A,Registered,Registered,Automatic
Kia,Forte,2010,Silver,Local Used,265180,2000,N/A,Registered,Imported,Automatic
Toyota,Corolla,2005,Gray,Local Used,197708,1800,Lagos,Registered,Registered,Automatic
Toyota,Venza,2010,Silver,Foreign Used,217038,3000,N/A,Imported,Imported,Automatic
Ford,Edge,2011,Black,Local Used,128359,3500,ABUJA,Registered,Imported,Automatic
Toyota,Sienna,2002,Silver,Local Used,281861,3000,KADUNA,Registered,Imported,Automatic
Toyota,Camry,2009,Gray,Local Used,284870,2500,LAGOS,Registered,Imported,Automatic
Volkswagen,Passat,2008,Black,Local Used,235252,2000,ABUJA,Registered,Registered,Automatic
Toyota,RAV4,2007,Black,Local Used,255085,2400,N/A,Registered,Imported,Automatic
Mercedes-Benz,GLK-Class,2012,Black,Local Used,262114,3500,N/A,Registered,Registered,Automatic
Toyota,Corolla,2006,Blue,Local Used,313225,1800,Lagos,Registered,Imported,Automatic
Toyota,Camry,2013,Red,Foreign Used,334192,2500,N/A,Imported,Imported,Automatic
Toyota,Camry,2004,Blue,Local Used,559878,2400,Lagos,Registered,Imported,Automatic
Mercedes-Benz,M Class,2006,White,Local Used,340095,3500,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,C180,1999,Silver,Foreign Used,308073,1800,N/A,Imported,Imported,Automatic
Toyota,Highlander,2008,Black,Local Used,191664,3500,DELTA,Registered,Imported,Automatic
Toyota,Highlander,2008,Black,Local Used,169994,3500,N/A,Registered,Imported,Automatic
Land Rover,Range Rover Velar,2018,Black,Local Used,55359,3000,ABUJA,Registered,Imported,Automatic
Hyundai,Elantra,2010,Gray,Local Used,247238,2400,N/A,Registered,Brand new,Automatic
Toyota,Camry,2012,Black,Local Used,371325,3500,N/A,Registered,Imported,Automatic
Toyota,Matrix,2005,Silver,Local Used,224510,1800,N/A,Registered,Registered,Automatic
Seat,Ibiza,1999,Green,Local Used,12071,1600,LAGOS,Registered,Imported,Manual
Mercedes-Benz,M Class,2012,Black,Foreign Used,261154,3500,N/A,Imported,Imported,Automatic
Toyota,Corolla,2005,Silver,Local Used,280866,1800,LAGOS,Registered,Imported,Manual
Hyundai,Sonata,2006,Black,Local Used,223064,2400,N/A,Registered,Brand new,Automatic
Toyota,Highlander,2004,Silver,Local Used,432587,3000,Lagos,Registered,Registered,Automatic
Mercedes-Benz,C300,2008,Gray,Local Used,N/A,3000,Lagos,Registered,Registered,Automatic
Lexus,RX 350,2014,Gray,Foreign Used,127508,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2005,Gray,Local Used,265415,2400,Lagos,Registered,Imported,Automatic
Peugeot,206,2006,Black,Local Used,99999,1600,KADUNA,Registered,Registered,Automatic
Volkswagen,Passat,2018,White,Foreign Used,63629,3600,N/A,Imported,Imported,Automatic
Toyota,Venza,2010,Silver,Local Used,133681,2700,Lagos,Registered,Registered,Automatic
Ford,Edge,2008,Black,Local Used,133449,3500,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2015,Red,Local Used,223287,1800,ABUJA,Registered,Registered,Automatic
Lexus,ES,2008,Burgandy,Local Used,71000,3500,N/A,Registered,Registered,Automatic
Toyota,Corolla,2004,Gray,Local Used,62160,1800,Abuja,Registered,Registered,Automatic
Toyota,Camry,2007,Gold,Local Used,288420,2400,N/A,Registered,Registered,Automatic
Honda,Civic,2007,Blue,Local Used,98803,1800,LAGOS,Registered,Registered,Automatic
Honda,Odyssey,2003,Black,Local Used,N/A,3500,Lagos,Registered,Registered,Automatic
Toyota,Camry,2014,Gray,Local Used,87792,2500,N/A,Registered,Imported,Automatic
Lexus,RX 330,2005,Black,Local Used,302642,3300,Lagos,Registered,Imported,Automatic
Lexus,ES,2007,Burgandy,Local Used,113305,3500,LAGOS,Registered,Registered,Automatic
Toyota,Land Cruiser Prado,2009,Black,Local Used,144534,4000,Lagos,Registered,Brand new,Automatic
Toyota,Camry,2005,Gray,Local Used,11938,2400,N/A,Registered,Registered,Automatic
Toyota,Highlander,2013,Gray,Local Used,109866,3500,Rivers,Registered,Registered,Automatic
