make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,transmission_system
Honda,Accord,2001,Silver,Local Used,433770,3000,Nasarawa,Registered,Registered,Automatic
Nissan,Pathfinder,2003,Gold,Local Used,272285,3500,LAGOS,Registered,Imported,Automatic
Lexus,RX 350,2010,Red,Foreign Used,296976,3500,N/A,Imported,Imported,Automatic
Honda,Accord,2009,Brown,Local Used,336770,2400,Edo,Registered,Registered,Automatic
Toyota,Corolla,2003,Green,Local Used,298455,1800,Lagos,Registered,Imported,Automatic
Honda,Crosstour,2011,White,Local Used,165274,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2007,Silver,Local Used,144935,2400,N/A,Registered,Registered,Automatic
Toyota,Corolla,2007,Gold,Local Used,58205,1800,RIVERS,Registered,Imported,Automatic
Toyota,Camry,2006,Black,Local Used,215678,2400,N/A,Registered,Registered,Automatic
Peugeot,307,2003,Silver,Local Used,999999,1400,PLATEAU,Registered,Registered,Manual
Toyota,Avalon,2012,Silver,Local Used,258371,3500,Oyo,Registered,Imported,Automatic
Toyota,4-Runner,2010,Black,Local Used,106375,4000,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2004,Red,Local Used,153212,1800,N/A,Registered,Imported,Automatic
Hyundai,Santa Fe,2016,Gray,Foreign Used,114137,3300,N/A,Imported,Imported,Automatic
Mercedes-Benz,GLK-Class,2014,White,Foreign Used,232969,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2009,Blue,Local Used,234928,2400,Lagos,Registered,Imported,Automatic
BMW,X5,2008,Gray,Local Used,171585,3000,Abuja,Registered,Registered,Automatic
Land Rover,Range Rover Velar,2019,Blue,Local Used,88450,3000,LAGOS,Registered,Imported,Automatic
Toyota,Camry,2012,Black,Local Used,218961,2500,LAGOS,Registered,Imported,Automatic
BMW,330i,2006,Black,Local Used,308465,3000,N/A,Registered,Imported,Automatic
Toyota,Camry,2012,Silver,Foreign Used,220391,2500,N/A,Imported,Imported,Automatic
Mercedes-Benz,S-Class,2005,Black,Local Used,N/A,2000,Lagos,Registered,Brand new,Automatic
Toyota,Camry,2009,Gray,Local Used,134258,2400,N/A,Registered,Imported,Automatic
Hyundai,Elantra,2008,Blue,Local Used,217371,1600,LAGOS,Registered,Registered,Automatic
Porsche,Cayenne,2012,Black,Local Used,38604,4800,Abuja,Registered,Imported,Automatic
Toyota,Highlander,2001,Silver,Local Used,434697,3000,N/A,Registered,Imported,Automatic
Mazda,CX-9,2013,Black,Foreign Used,125085,3700,N/A,Imported,Imported,Automatic
Toyota,Camry,2003,Gray,Local Used,296435,3000,N/A,Registered,Registered,Automatic
Honda,Accord,2013,Gray,Local Used,131524,3500,Abuja,Registered,Registered,Automatic
Mercedes-Benz,GL-Class,2011,White,Foreign Used,223445,3000,N/A,Imported,Imported,Automatic
Toyota,Camry,2009,Silver,Local Used,109658,2500,Lagos,Registered,Registered,Automatic
Toyota,Sienna,2001,Gray,Local Used,264475,3000,ENUGU,Registered,Imported,Automatic
Toyota,Sienna,2001,White,Local Used,218055,3000,LAGOS,Registered,Registered,Automatic
Toyota,Sienna,2006,Red,Foreign Used,293710,3500,N/A,Imported,Imported,Automatic
Toyota,Highlander,2004,Black,Local Used,144337,3300,Kano State,Registered,Imported,Automatic
Mercedes-Benz,M Class,2006,Gold,Local Used,193162,3500,ENUGU,Registered,Imported,Automatic
Toyota,RAV4,2003,Silver,Local Used,315000,2000,ENUGU,Registered,Imported,Automatic
Lexus,RX 400h,2006,Blue,Local Used,113639,3300,LAGOS,Registered,Registered,Automatic
Jeep,Wrangler,2014,Black,Local Used,103816,3600,LAGOS,Registered,Registered,Automatic
GAC,GS4,2016,Black,Local Used,31555,1500,Abuja,Registered,Brand new,Automatic
Changan,CS35,2023,Gray,Local Used,9209,2500,N/A,Registered,Brand new,Automatic
Toyota,Corolla,2006,Gray,Local Used,140322,1800,N/A,Registered,Imported,Automatic
Lexus,IS,2008,Gray,Local Used,162525,2500,N/A,Registered,Registered,Automatic
Honda,CR-V,2009,Green,Local Used,114589,2400,N/A,Registered,Registered,Automatic
Hyundai,Sonata,2015,Silver,Local Used,60949,2400,N/A,Registered,Registered,Automatic
Ford,Explorer,2012,Gold,Foreign Used,141451,3500,N/A,Imported,Imported,Automatic
Lexus,RX 300,1999,White,Local Used,138081,3000,Delta State,Registered,Registered,Automatic
Ford,Edge,2012,Black,Local Used,169048,3500,Lagos,Registered,Registered,Automatic
Toyota,Camry,2012,White,Foreign Used,236701,2500,N/A,Imported,Imported,Automatic
Toyota,Highlander,2005,Red,Local Used,328054,3300,Lagos State,Registered,Imported,Automatic
Toyota,Camry,2006,Black,Local Used,216424,2000,N/A,Registered,Registered,Automatic
Pontiac,Aztek,2001,Red,Local Used,104114,3400,ENUGU,Registered,Imported,Automatic
Ford,F-150,2003,White,Foreign Used,255231,5400,N/A,Imported,Imported,Automatic
Toyota,Hilux,2020,White,Local Used,37217,2700,N/A,Registered,Imported,Automatic
Nissan,Pathfinder,2005,Gray,Local Used,196778,4000,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,E350,2011,Red,Foreign Used,170158,3500,N/A,Imported,Imported,Automatic
Nissan,Frontier,2005,Black,Local Used,119233,4000,LAGOS,Registered,Registered,Automatic
Honda,Crosstour,2012,Blue,Local Used,225185,3500,RIVERS,Registered,Registered,Automatic
Honda,Accord,2013,Black,Local Used,91624,2400,N/A,Registered,Registered,Automatic
Toyota,Corolla,2010,Black,Local Used,163838,1800,Rivers,Registered,Registered,Automatic
Ford,Focus,2005,Silver,Local Used,130142,N/A,Rivers,Registered,Registered,Automatic
Lexus,RX 400h,2006,Silver,Local Used,181720,3300,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,M Class,2007,White,Local Used,169090,3500,FCT,Registered,Registered,Automatic
Mercedes-Benz,C230,2005,Black,Local Used,345209,1800,Delta,Registered,Registered,Automatic
Toyota,Avensis,2003,Gray,Local Used,293662,1800,FCT,Registered,Registered,Automatic
Honda,CR-V,2007,Blue,Local Used,213315,2400,N/A,Registered,Registered,Automatic
Toyota,Avensis,2004,Gray,Local Used,195683,2800,LAGOS,Registered,Registered,Automatic
Lexus,RX 400h,2006,Blue,Local Used,316344,N/A,Lagos,Registered,Registered,Automatic
Honda,Accord,2007,Gray,Local Used,142947,3000,Lagos,Registered,Imported,Automatic
Toyota,Corolla,2005,Gray,Local Used,320466,1800,Abuja,Registered,Registered,Automatic
Lexus,LX,2011,Black,Local Used,10018,5700,LAGOS,Registered,Brand new,Automatic
Nissan,Almera,2013,Gray,Local Used,122093,1500,LAGOS,Registered,Registered,Manual
Nissan,Primera,2004,Gray,Local Used,233348,2000,N/A,Registered,Registered,Automatic
Toyota,Camry,2000,Gray,Local Used,290007,2000,LAGOS,Registered,Imported,Automatic
Lexus,RX 300,2000,Silver,Local Used,203045,3000,N/A,Registered,Registered,Automatic
Honda,Accord,2005,Black,Local Used,2159850,2400,N/A,Registered,Imported,Automatic
Toyota,Sienna,2011,Gray,Foreign Used,288685,3500,N/A,Imported,Imported,Automatic
Honda,Accord,2004,Gray,Local Used,333514,2400,LAGOS,Registered,Registered,Automatic
Toyota,Celica,2003,Red,Local Used,104584,1800,LAGOS,Registered,Imported,Automatic
Land Rover,Lr3,2006,Gray,Local Used,330118,4400,ABUJA,Registered,Registered,Automatic
Honda,Accord,1999,Silver,Local Used,106238,2200,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2009,Black,Foreign Used,105302,1800,N/A,Imported,Imported,Automatic
Toyota,Sienna,2004,Gray,Local Used,431143,3300,ABUJA,Registered,Imported,Automatic
Mitsubishi,Pajero,2019,Black,Local Used,69623,2500,N/A,Registered,Imported,Automatic
Lexus,ES,2009,White,Local Used,141135,3500,ABUJA,Registered,Registered,Automatic
Lexus,GX,2007,Black,Local Used,166334,4700,N/A,Registered,Registered,Automatic
Toyota,Land Cruiser,2007,Black,Local Used,N/A,4500,LAGOS,Registered,Registered,Automatic
Lexus,IS,2008,Black,Local Used,253247,3500,Lagos,Registered,Registered,Automatic
Honda,Accord,2008,Black,Local Used,207147,2400,Abuja,Registered,Registered,Automatic
Mercedes-Benz,C300,2015,White,Local Used,103834,2000,N/A,Registered,Imported,Automatic
Land Rover,Discovery,2005,Gold,Local Used,198518,4600,N/A,Registered,Registered,Automatic
Toyota,Camry,2010,Gray,Foreign Used,272660,2500,N/A,Imported,Imported,Automatic
Toyota,Camry,2004,Red,Local Used,450134,2400,LAGOS,Registered,Imported,Automatic
Lexus,RX,2000,White,Local Used,224734,3000,Lagos,Registered,Registered,Automatic
Hyundai,Santa Fe,2009,Brown,Local Used,118716,2700,LAGOS,Registered,Brand new,Manual
Ford,Fiesta,2012,White,Foreign Used,210543,1600,N/A,Imported,Imported,Automatic
Lexus,ES,2012,Brown,Local Used,167951,3500,ABUJA,Registered,Imported,Automatic
Lexus,GS,2004,Silver,Local Used,446870,3000,Lagos,Registered,Imported,Automatic
Toyota,Corolla,2004,Black,Local Used,221769,1800,Lagos,Registered,Imported,Automatic
Toyota,Avalon,2006,Blue,Local Used,156312,3500,LAGOS,Registered,Registered,Automatic
Jeep,Renegade,2015,Silver,Local Used,131108,2400,LAGOS,Registered,Imported,Automatic
Toyota,Venza,2009,Gray,Foreign Used,97381,3500,N/A,Imported,Imported,Automatic
Honda,CR-V,2000,Red,Local Used,279174,N/A,RIVERS,Registered,Imported,Automatic
Honda,CR-V,2013,Gray,Local Used,346630,2400,N/A,Registered,Imported,Automatic
Honda,Accord,2010,Red,Local Used,263415,2400,N/A,Registered,Registered,Automatic
Lexus,RX 350,2011,Black,Foreign Used,95357,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2007,Silver,Local Used,431822,2400,Lagos,Registered,Registered,Automatic
Toyota,Camry,2013,White,Foreign Used,121412,2500,N/A,Imported,Imported,Automatic
Ford,Edge,2008,Red,Local Used,1949865,3500,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,GLC-Class,2016,Red,Foreign Used,179484,2000,N/A,Imported,Imported,Automatic
Hyundai,Elantra,2014,Red,Local Used,189803,1800,N/A,Registered,Imported,Automatic
Toyota,Highlander,2010,Black,Local Used,291251,3500,N/A,Registered,Registered,Automatic
Ford,Edge,2008,Gold,Local Used,270021,3500,LAGOS,Registered,Registered,Automatic
Honda,Accord,2003,Gray,Local Used,244493,2500,N/A,Registered,Registered,Automatic
Toyota,Yaris,2007,Silver,Local Used,146241,1500,Kwara state,Registered,Registered,Automatic
Lexus,ES,1993,Blue,Local Used,N/A,N/A,Abia,Registered,Registered,Automatic
Mercedes-Benz,GL-Class,2007,Black,Local Used,266122,4500,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,CLA-Class,2015,Black,Local Used,56804,2500,N/A,Registered,Registered,Automatic
Toyota,Camry,2009,Black,Local Used,127865,2400,LAGOS,Registered,Registered,Automatic
Nissan,Frontier,2006,Blue,Local Used,70617,4000,OYO,Registered,Registered,Automatic
Toyota,Corolla,2003,Gold,Local Used,132762,1800,N/A,Registered,Registered,Automatic
Ford,Explorer,2005,Silver,Foreign Used,320371,4000,N/A,Imported,Imported,Automatic
Lexus,RX 400h,2006,Silver,Local Used,251766,3500,LAGOS,Registered,Imported,Automatic
Nissan,Sentra,2013,Black,Local Used,98432,1800,LAGOS,Registered,Brand new,CVT
Toyota,Corolla,2006,White,Local Used,188355,1800,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2008,Black,Local Used,91396,2400,N/A,Registered,Imported,Automatic
Lexus,RX 350,2010,Silver,Local Used,341735,3500,N/A,Registered,Imported,Automatic
Toyota,Camry,2006,Gold,Local Used,215025,2400,OYO STATE,Registered,Registered,Automatic
Dodge,Charger,2021,Black,Foreign Used,88571,5700,N/A,Imported,Imported,Automatic
Kia,Sorento,2012,Silver,Foreign Used,260880,3000,N/A,Imported,Imported,Automatic
Honda,CR-V,2007,Blue,Foreign Used,168825,2400,N/A,Imported,Imported,Automatic
Toyota,Camry,2008,Green,Local Used,169951,3000,Lagos,Registered,Registered,Automatic
Mercedes-Benz,C300,2015,Black,Foreign Used,165201,2000,N/A,Imported,Imported,Automatic
Toyota,Sequoia,2003,Gray,Local Used,230368,4700,Lagos,Registered,Imported,Automatic
Mercedes-Benz,GLE-Class,2016,Black,Foreign Used,88038,3500,N/A,Imported,Imported,Automatic
Toyota,Venza,2015,Blue,Foreign Used,116594,2700,N/A,Imported,Imported,Automatic
Mercedes-Benz,GLK-Class,2011,Red,Local Used,227644,3500,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2014,Gray,Foreign Used,154438,1800,N/A,Imported,Imported,Automatic
Toyota,Camry,2007,Blue,Local Used,274917,2400,N/A,Registered,Imported,Automatic
Volkswagen,Routan,2009,White,Foreign Used,147037,3700,N/A,Imported,Imported,Automatic
Ford,Escape,2006,Gray,Local Used,25326,3000,Rivers,Registered,Registered,Automatic
Lexus,RX 330,2004,Black,Local Used,249401,3300,RIVERS,Registered,Registered,Automatic
Toyota,Corolla,2011,Silver,Local Used,102400,1800,RIVERS,Registered,Registered,Automatic
Mercedes-Benz,G-Class,2002,Black,Local Used,999999,5000,N/A,Registered,Registered,Automatic
Lexus,LX,2014,Black,Local Used,244753,5700,N/A,Registered,Registered,Automatic
Hyundai,Tucson,2007,Blue,Local Used,124920,2700,Rivers,Registered,Registered,Automatic
Volvo,XC90,2011,Silver,Local Used,216869,3200,Lagos,Registered,Imported,Automatic
Lexus,RX 300,1999,Silver,Local Used,226064,3000,Lagos,Registered,Imported,Automatic
Mercedes-Benz,M Class,2008,Gray,Local Used,160108,3000,N/A,Registered,Imported,Automatic
Hyundai,Tucson,2006,Silver,Local Used,484271,2700,N/A,Registered,Imported,Automatic
Toyota,Sienna,2004,Gold,Local Used,221404,3300,Lagos,Registered,Imported,Automatic
Mercedes-Benz,GLE-Class,2020,Black,Local Used,55977,2000,LAGOS,Registered,Imported,Automatic
Lexus,GS,2003,Red,Local Used,234841,3300,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2004,Blue,Local Used,498922,3300,Abuja,Registered,Registered,Automatic
Toyota,Sienna,2013,Gray,Local Used,91391,3500,LAGOS,Registered,Imported,Automatic
Ford,Edge,2007,Red,Local Used,204230,3500,ABUJA,Registered,Imported,Automatic
Toyota,Avalon,2000,Black,Local Used,225734,3000,LAGOS,Registered,Registered,Automatic
Nissan,Sentra,2014,Burgandy,Local Used,93991,1800,N/A,Registered,Registered,Automatic
Toyota,Corolla,2009,Black,Local Used,111971,1800,EDO,Registered,Registered,Automatic
Mercedes-Benz,E350,2010,Black,Local Used,140601,3500,N/A,Registered,Registered,Automatic
Toyota,Venza,2015,Green,Foreign Used,232420,3500,N/A,Imported,Imported,Automatic
Lexus,LS,2007,Black,Local Used,116014,4600,Lagos,Registered,Imported,Automatic
Lexus,RX 330,2005,Blue,Local Used,197364,3300,Lagos,Registered,Registered,Automatic
Toyota,Camry,2002,Gold,Local Used,15533,2400,lagos,Registered,Imported,Automatic
Honda,Civic,2001,Silver,Local Used,108771,1400,LAGOS,Registered,Registered,Manual
Subaru,Forester,2006,Gray,Local Used,256603,2500,LAGOS,Registered,Registered,Automatic
Land Rover,Range Rover Evoque,2013,Black,Local Used,92936,2000,ABUJA,Registered,Imported,Automatic
Audi,A6,2008,Blue,Local Used,547573,3100,Lagos,Registered,Imported,Automatic
Nissan,Sentra,2014,Black,Foreign Used,174446,1800,N/A,Imported,Imported,Automatic
Kia,Rio,2008,Black,Local Used,227564,1600,N/A,Registered,Registered,Automatic
Toyota,Corolla,2011,Black,Local Used,120676,1800,Lagos,Registered,Imported,Automatic
Mercedes-Benz,GL-Class,2010,Black,Local Used,200533,4600,N/A,Registered,Registered,Automatic
Toyota,Corolla,2003,Gray,Local Used,125017,1800,Lagos,Registered,Imported,Automatic
Honda,Accord,2005,Gray,Local Used,210252,2000,LAGOS,Registered,Registered,Automatic
Toyota,Sienna,2002,Blue,Local Used,210450,3000,LAGOS,Registered,Registered,Automatic
Toyota,Venza,2013,Black,Local Used,64558,2700,Lagos,Registered,Imported,Automatic
Nissan,Pathfinder,2008,Black,Local Used,208245,4000,NASARAWA,Registered,Registered,Automatic
Toyota,Corolla,2014,Gray,Foreign Used,201400,1800,N/A,Imported,Imported,Automatic
Toyota,Venza,2009,Black,Foreign Used,153486,3500,N/A,Imported,Imported,Automatic
BMW,Z4,2003,Gray,Foreign Used,322482,3000,N/A,Imported,Imported,Automatic
Peugeot,RC,2011,Silver,Foreign Used,97409,1600,N/A,Imported,Imported,Manual
Lexus,LX,2018,Black,Foreign Used,38965,5700,N/A,Imported,Imported,Automatic
Hyundai,Sonata,2011,Black,Local Used,190026,2000,N/A,Registered,Imported,Automatic
Hyundai,Elantra,2008,Black,Local Used,243151,2000,OGUN,Registered,Registered,Automatic
Lexus,RX 300,2000,Gold,Local Used,133176,3000,ENUGU,Registered,Registered,Automatic
Lexus,ES,2019,Blue,Foreign Used,64698,3500,N/A,Imported,Imported,Automatic
Toyota,Sienna,2000,Beige,Local Used,359891,3000,N/A,Registered,Imported,Automatic
Toyota,Camry,2006,Red,Local Used,397946,2400,RIVERS,Registered,Registered,Automatic
Mercedes-Benz,GLE-Class,2020,Black,Foreign Used,96714,2000,N/A,Imported,Imported,Automatic
Toyota,Corolla,2003,Silver,Local Used,136333,1600,LAGOS,Registered,Imported,Automatic
Toyota,Venza,2014,Blue,Foreign Used,278622,2700,N/A,Imported,Imported,Automatic
Peugeot,406,2007,Blue,Local Used,999999,2000,N/A,Registered,Registered,Manual
Toyota,Corolla,2009,Gray,Local Used,141071,1800,N/A,Registered,Imported,Automatic
Ford,Edge,2014,White,Local Used,223021,3500,N/A,Registered,Imported,Automatic
Lexus,ES,2013,Silver,Foreign Used,111792,3500,N/A,Imported,Imported,Automatic
Toyota,Yaris,2007,Gray,Local Used,262087,1500,LAGOS,Registered,Registered,Automatic
Honda,CR-V,2016,Gray,Local Used,52771,2400,Lagos,Registered,Imported,Automatic
Hyundai,Tucson,2012,Black,Foreign Used,142914,2400,N/A,Imported,Imported,Automatic
Toyota,Corolla,2010,White,Local Used,91697,1800,N/A,Registered,Registered,Automatic
Honda,Odyssey,2013,Black,Local Used,51436,3500,Lagos,Registered,Imported,Automatic
Kia,Picanto,2014,Black,Local Used,108015,1300,Sokoto,Registered,Brand new,Automatic
MG,MGB,2010,Silver,Local Used,57602,1800,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2008,Silver,Local Used,128060,3500,Ogun,Registered,Imported,Automatic
Toyota,Land Cruiser Prado,2015,White,Local Used,156515,2700,N/A,Registered,Imported,Automatic
Toyota,Corolla,2005,White,Local Used,379527,1800,Lagos,Registered,Imported,Automatic
Toyota,Corolla,2012,Gray,Local Used,273432,1800,Plateau,Registered,Registered,Automatic
Toyota,Sienna,2005,Gold,Local Used,104759,3300,Abuja,Registered,Registered,Automatic
Mercedes-Benz,C300,2009,Black,Local Used,71351,3000,Abuja,Registered,Imported,Automatic
Honda,Pilot,2005,Gold,Local Used,403871,3500,N/A,Registered,Registered,Automatic
Nissan,Primera,2001,Blue,Local Used,264525,2000,LAGOS,Registered,Registered,Manual
Toyota,Camry,2008,Gray,Local Used,214912,2400,ENUGU,Registered,Registered,Automatic
Toyota,Camry,2017,Blue,Foreign Used,238737,2500,N/A,Imported,Imported,Automatic
Toyota,Highlander,2004,White,Local Used,317522,3300,Abuja,Registered,Registered,Automatic
Toyota,Sienna,2004,Silver,Local Used,238391,3300,N/A,Registered,Imported,Automatic
Toyota,Camry,2015,Silver,Local Used,79241,2500,Lagos,Registered,Imported,Automatic
Jeep,Liberty,2004,Black,Local Used,236885,3700,N/A,Registered,Registered,Automatic
Toyota,Corolla,2008,Gray,Local Used,411220,1800,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2005,Green,Local Used,304672,3800,N/A,Registered,Registered,Automatic
Toyota,Corolla,2015,Green,Foreign Used,281666,1800,N/A,Imported,Imported,Automatic
Toyota,Sienna,2004,Blue,Local Used,155719,3300,N/A,Registered,Registered,Automatic
Toyota,Corolla,2010,Black,Local Used,96990,1800,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,E350,2014,Silver,Foreign Used,216947,3500,N/A,Imported,Imported,Automatic
Lexus,RX 350,2010,Black,Local Used,190532,3500,N/A,Registered,Registered,Automatic
Toyota,Tundra,2006,Black,Local Used,139664,4700,N/A,Registered,Imported,Automatic
Mercedes-Benz,G-Class,2002,Black,Local Used,N/A,5000,N/A,Registered,Imported,Automatic
Hyundai,Santa Fe,2015,White,Foreign Used,165084,3300,N/A,Imported,Imported,Automatic
Toyota,Highlander,2008,Silver,Local Used,214457,3500,Abuja,Registered,Registered,Automatic
Toyota,Corolla,2011,Red,Local Used,262278,1800,N/A,Registered,Imported,Automatic
Honda,CR-V,2010,Black,Local Used,69080,2400,LAGOS,Registered,Registered,Automatic
Lexus,RX 330,2005,Gray,Foreign Used,188027,3300,N/A,Imported,Imported,Automatic
Toyota,Aygo,2015,Black,Local Used,30097,1800,Lagos,Registered,Imported,Manual
Nissan,Rogue,2011,Blue,Local Used,122308,2500,Lagos,Registered,Registered,Automatic
Toyota,Camry,2002,Silver,Local Used,282699,2400,AKWA IBOM,Registered,Registered,Automatic
Toyota,Camry,2002,Black,Local Used,92538,2400,RIVERS,Registered,Registered,Automatic
Toyota,Sienna,2004,Silver,Local Used,214474,3300,Lagos,Registered,Registered,Automatic
Volkswagen,Golf,1994,Black,Local Used,52327,2000,LAGOS,Registered,Registered,Manual
Kia,Optima,2010,Gray,Local Used,215854,2000,Cross River,Registered,Registered,Manual
Ford,Edge,2015,Silver,Local Used,63312,2700,LAGOS,Registered,Imported,Automatic
Mercedes-Benz,C300,2008,Black,Foreign Used,306078,3000,N/A,Imported,Imported,Automatic
Ford,F-150,2013,Black,Local Used,95116,5000,N/A,Registered,Imported,Automatic
Honda,Crosstour,2010,Red,Local Used,64599,3500,LAGOS,Registered,Registered,Automatic
Nissan,Altima,2005,Black,Local Used,121744,2500,N/A,Registered,Imported,Automatic
Toyota,Corolla,2007,Gray,Foreign Used,385414,1800,N/A,Imported,Imported,Automatic
Toyota,4-Runner,2013,Black,Local Used,108028,4000,Lagos,Registered,Imported,Automatic
Toyota,Camry,2003,Gray,Local Used,131608,2400,ABUJA,Registered,Registered,Automatic
BMW,528i,2016,Black,Local Used,255959,2000,ABUJA,Registered,Imported,Automatic
Lexus,RX 350,2008,Black,Local Used,189478,3500,EDO,Registered,Registered,Automatic
Toyota,Corolla,2005,Blue,Foreign Used,1398397,1800,N/A,Imported,Imported,Automatic
Toyota,4-Runner,1997,Green,Local Used,191745,3400,ABUJA,Registered,Imported,Automatic
Mercedes-Benz,GLA 250,2021,Gray,Foreign Used,34689,2000,N/A,Imported,Imported,Automatic
Nissan,Pathfinder,2005,Brown,Local Used,98519,4000,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,GLE-Class,2020,White,Foreign Used,109001,3500,N/A,Imported,Imported,Automatic
Mercedes-Benz,GLA 250,2015,White,Local Used,116687,2000,N/A,Registered,Imported,Automatic
Hyundai,Elantra,2021,White,Foreign Used,74403,2000,N/A,Imported,Imported,Automatic
Peugeot,408,2011,Black,Foreign Used,732232,2000,N/A,Imported,Imported,Automatic
Volkswagen,Sharan,1999,Blue,Local Used,295551,2400,N/A,Registered,Imported,Manual
Acura,ZDX,2010,Black,Local Used,92229,3700,N/A,Registered,Imported,Automatic
Lexus,LS,2011,Black,Local Used,62256,4600,N/A,Registered,Imported,Automatic
Mercedes-Benz,GLE-Class,2016,White,Local Used,116861,3500,Lagos,Registered,Imported,Automatic
Honda,Stream,2001,White,Local Used,261864,2000,N/A,Registered,Registered,Automatic
Hyundai,Santa Fe,2003,Black,Local Used,194714,2700,N/A,Registered,Registered,Automatic
Toyota,Venza,2013,Black,Local Used,182669,3500,LAGOS,Registered,Imported,Automatic
Lexus,RX 350,2007,Gray,Local Used,178015,3500,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,E350,2010,Blue,Local Used,118754,3500,Abuja,Registered,Registered,Automatic
Mercedes-Benz,C300,2009,Black,Local Used,317868,3000,Zamfara,Registered,Imported,Automatic
Honda,Accord,2000,Red,Local Used,482800,2300,LAGOS,Registered,Registered,Automatic
Land Rover,Lr3,2005,Black,Local Used,200333,4400,RIVERS STATE,Registered,Registered,Automatic
BMW,X3,2005,Silver,Local Used,252079,3000,N/A,Registered,Registered,Automatic
Volkswagen,Passat,1999,Silver,Local Used,170885,N/A,LAGOS,Registered,Registered,Manual
Toyota,Highlander,2004,Black,Local Used,199003,3300,N/A,Registered,Imported,Automatic
Mercedes-Benz,C-Class,2005,Black,Local Used,N/A,1800,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2015,Silver,Foreign Used,126100,1800,N/A,Imported,Imported,Automatic
Mercedes-Benz,E350,2015,White,Foreign Used,288024,3500,N/A,Imported,Imported,Automatic
Toyota,Sienna,2019,Red,Foreign Used,7579,3500,N/A,Imported,Imported,Automatic
Honda,CR-V,1999,Blue,Local Used,234641,2000,N/A,Registered,Imported,Automatic
Toyota,Avalon,2005,Silver,Local Used,268674,3500,LAGOS,Registered,Imported,Automatic
Honda,Pilot,2008,Black,Local Used,125162,3500,N/A,Registered,Registered,Automatic
Nissan,Xterra,2003,Red,Local Used,154231,3800,LAGOS,Registered,Registered,Automatic
Mercedes-Benz,GLE-Class,2017,Black,Foreign Used,128560,3500,N/A,Imported,Imported,Automatic
Lexus,RX 300,2001,Black,Local Used,222035,3000,LAGOS,Registered,Registered,Automatic
Toyota,Camry,2008,Black,Local Used,164651,2400,ENUGU,Registered,Registered,Automatic
Honda,CR-V,2006,Gold,Local Used,147964,2400,N/A,Registered,Registered,Automatic
Honda,Accord,2014,White,Foreign Used,219024,2400,N/A,Imported,Imported,Automatic
Pontiac,Vibe,2009,Blue,Local Used,132014,1800,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2016,Black,Local Used,166130,2000,LAGOS,Registered,Imported,Automatic
Ford,Edge,2008,Gray,Local Used,303848,3500,LAGOS,Registered,Registered,Automatic
Toyota,Sienna,1999,Green,Local Used,265013,3000,Lagos,Registered,Imported,Automatic
Acura,MDX,2008,Silver,Local Used,178994,3700,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2008,Black,Local Used,203885,1800,Lagos,Registered,Registered,Automatic
Toyota,Sienna,2011,Red,Foreign Used,174249,2700,N/A,Imported,Imported,Automatic
Mercedes-Benz,M Class,2002,Black,Local Used,294230,3200,Osun state,Registered,Imported,Automatic
Honda,Accord,2006,Black,Local Used,259001,2400,Abuja,Registered,Registered,Automatic
Opel,Zafira,2003,Red,Local Used,N/A,1800,ONDO,Registered,Imported,Manual
Toyota,Camry,2013,Black,Foreign Used,179031,2500,N/A,Imported,Imported,Automatic
Toyota,RAV4,2008,Silver,Local Used,203122,3500,LAGOS,Registered,Imported,Automatic
Toyota,Venza,2014,Red,Local Used,102682,2700,ABUJA,Registered,Registered,Automatic
Nissan,Altima,2010,Blue,Local Used,123451,2500,N/A,Registered,Registered,Automatic
Toyota,RAV4,2011,Blue,Local Used,122986,2500,Lagos,Registered,Imported,Automatic
Toyota,Sienna,2005,Gold,Local Used,199207,3300,Lagos,Registered,Registered,Automatic
Nissan,Rogue,2010,Gray,Local Used,219508,2500,Abuja,Registered,Registered,Automatic
Toyota,Corolla,2009,Black,Local Used,213974,1800,LAGOS,Registered,Registered,Manual
Lexus,ES,2007,Gray,Local Used,240032,3500,LAGOS,Registered,Registered,Automatic
BMW,328i,2012,Silver,Local Used,275836,2000,N/A,Registered,Registered,CVT
BMW,323i,2006,Black,Local Used,197446,N/A,N/A,Registered,Imported,Manual
