amount,name,region,condition,mileage,image_url,details_url
21375000,Toyota Highlander 2013 Gray,"Lagos State, Alimosho",Local Used,177806 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163665471_MTgwLTEzNS1lNzhkNDE2OTIx.jpg,https://www.cars45.com/jEY4wdZVO62XUDPGDL32uludzqGELyf
4500000,Peugeot 406 2000 Green,"Abuja (FCT), Lugbe District",Local Used,1245184 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163587774_MTgwLTEzNS0wMGFjMDk5OTBjLTE.jpg,https://www.cars45.com/jEY4wdZrzn4AI1bjiCY9X7uR8Sg78b9
14979375,Mercedes-Benz CLA-Class 2015 Black,"Lagos State, Ikeja",Local Used,53999 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163664316_MTgwLTEzNS02MTZmMmNiNTJkLTE.jpg,https://www.cars45.com/jEY4wdZ9BxND2Kjad8olHGcOfhvP27V
30375000,Mercedes-Benz GLK-Class 2013 Silver,"Abuja (FCT), Central Business District",Foreign Used,233761 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163594948_MTgwLTEzNi00OWNiNTRkZmMzLTE.jpg,https://www.cars45.com/jEY4wdZXosVan1OlpJboU29w9VWGDuC
5062500,Toyota Camry 2003 Gold,"Lagos State, Ogba",Local Used,196366 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163662442_MTgwLTEzNS04N2JkZjMyMDky.jpg,https://www.cars45.com/jEY4wdZgOsR5YttxoIK7LZxnZCnD9qQ
2812500,Toyota Avalon 3.0 2000 Gold,"Imo State, Owerri",Local Used,181740 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163533277_MTgwLTEzNS1mM2YyMjY1ZjFiLTE.jpg,https://www.cars45.com/jEY4wdZqufxnC2cNUGShiSKDSnUtAav
5512500,Toyota Corolla 2010 Red,"Oyo State, Ibadan",Local Used,187187 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163592330_MTgwLTEzNS01ZGQ1MTMxZGVkLTE.jpg,https://www.cars45.com/jEY4wdZM5e6hIGrgHW2N54sLMKwxLmj
43031250,Mercedes-Benz GLE-Class 2016 Gray,"Lagos State, Lekki",Foreign Used,144449 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163596025_MTgwLTEzNS0zMjQ3MmIwNGU2LTE.jpg,https://www.cars45.com/jEY4wdZmx47rV2qoNwsEvOErJC6vmUt
15921562,Toyota Tundra 2007 Blue,"Lagos State, Abule Egba",Local Used,587106 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163657608_MTgwLTEzNS05NzVlY2NkYWQ5LTE.jpg,https://www.cars45.com/jEY4wdZBkapXMPakYHqONYiv5ao4p9J
14625000,Land Rover Range Rover Sport 2011 Black,"Oyo State, Ibadan",Local Used,65038 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163592928_MTgwLTEzNS02NDc0MzkwZWQ2.jpg,https://www.cars45.com/jEY4wdZVLw3ejAzH5nY9zoogqO8bMN2
10125000,Honda Accord 2014 Burgandy,"Oyo State, Ibadan",Local Used,44479 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163422098_MTgwLTEzNS02NjEyZjkzYTEx.jpg,https://www.cars45.com/jEY4we00YrRnNx6SPjvbJGn05sThahJ
